clas_local,clas_visitante,G_esp_local,Goles_local,G_esp_visitante,Goles_visitante,Disparos_puerta_intento_local,Disparos_puerta_buenos_local,Disparos_puerta_%_local,Disparos_puerta_intento_visitante,Disparos_puerta_buenos_visitante,Disparos_puerta_%_visitante,Paradas_local,Paradas_%_local,Paradas_visitante,Paradas_%_visitante,Saques_esquina_local,Saques_esquina_visitante,Pases_cruzados_local,Pases_cruzados_visitante,%_Saques_esquina_local_favor,%_Saques_esquina_visitante_favor,%_Saques_esquina_local_contra,%_Saques_esquina_visitante_contra,goles_marcados_local,goles_marcados_visitante,goles_recibidos_local,goles_recibidos_visitante,goles_esperados_local,goles_esperados_visitante,goles_esperados_contra_local,goles_esperados_contra_visitante,%_disparos_puerta_hechos_local,%_disparos_puerta_hechos_visitante,%_disparos_puerta_recibidos_local,%_disparos_puerta_recibidos_visitante,%_pases_cruzados_hechos_local,%_pases_cruzados_hechos_visitante,%_pases_cruzados_recibidos_local,%_pases_cruzados_recibidos_visitante
2,2,0.5,1,0.8,2,10,2,0.2,10,4,0.4,2,0.5,1,0.5,5,1,28,15,3.764705882352941,3.235294117647059,3.9411764705882355,6.705882352941177,1.0588235294117647,1.2352941176470589,1.0588235294117647,1.8235294117647058,1.2,0.9352941176470588,1.211764705882353,1.5941176470588236,3.2941176470588234,2.764705882352941,4.235294117647059,5.352941176470588,19.764705882352942,14.352941176470589,16.823529411764707,23.235294117647058
2,5,1.4,1,2.4,1,14,3,0.21,12,6,0.5,5,0.83,2,0.66,3,4,21,13,4.529411764705882,3.6875,5.9411764705882355,5.25,1.5294117647058822,1.5,1.2941176470588236,0.75,1.2705882352941178,1.325,1.5294117647058822,1.14375,4.235294117647059,4.5,4.470588235294118,3.75,16.764705882352942,13.9375,22.176470588235293,21.9375
2,1,1.6,1,0.6,1,16,3,0.19,12,5,0.42,4,0.8,2,0.66,3,6,19,24,4.705882352941177,4.176470588235294,5.117647058823529,6.411764705882353,0.9411764705882353,0.5882352941176471,1.3529411764705883,2.176470588235294,1.1352941176470588,0.6941176470588236,1.535294117647059,2.0823529411764703,3.1176470588235294,2.2941176470588234,5.588235294117647,6.529411764705882,20.176470588235293,14.647058823529411,20.11764705882353,22.294117647058822
4,5,0.5,1,0.5,2,5,1,0.2,13,3,0.23,1,0.33,1,1.0,1,6,9,14,4.375,5.0625,5.1875,4.1875,1.375,1.6875,0.9375,0.5625,1.51875,1.6,1.11875,0.825,4.3125,3.8125,3.0625,2.75,14.25,16.125,18.75,16.5625
5,2,0.9,2,1.6,0,19,7,0.37,4,0,0.0,0,1.0,5,0.71,6,6,14,15,6.8125,5.1875,2.9375,5.8125,2.5,0.75,0.875,1.4375,2.3,1.20625,1.025,1.40625,6.6875,2.9375,2.6875,4.75,16.4375,23.0,10.625,17.25
3,3,2.3,1,0.9,0,8,3,0.38,10,3,0.3,3,1.0,2,0.66,4,6,16,22,3.8125,4.647058823529412,4.3125,4.823529411764706,1.0625,0.9411764705882353,0.75,1.7058823529411764,1.1,1.1823529411764706,0.89375,1.5705882352941176,3.3125,3.4705882352941178,2.5625,4.176470588235294,18.375,17.0,18.25,19.176470588235293
3,4,3.3,0,0.5,2,14,2,0.14,12,7,0.58,5,0.71,2,1.0,3,4,26,10,5.529411764705882,4.235294117647059,4.470588235294118,3.823529411764706,1.4705882352941178,1.2941176470588236,1.1176470588235294,0.9411764705882353,1.4352941176470588,1.2588235294117647,1.0411764705882351,1.0823529411764705,4.529411764705882,4.764705882352941,3.3529411764705883,3.235294117647059,24.88235294117647,14.058823529411764,15.0,16.941176470588236
2,4,1.7,1,0.1,0,8,2,0.25,13,3,0.23,3,1.0,1,0.5,7,4,23,19,5.625,3.6470588235294117,3.8125,5.882352941176471,1.1875,1.0588235294117647,1.5625,1.2941176470588236,1.4375,1.211764705882353,1.1625,1.5058823529411764,4.125,3.0,3.9375,4.588235294117647,21.5625,13.0,14.6875,20.41176470588235
5,2,2.5,3,0.6,0,18,8,0.44,7,1,0.14,1,1.0,5,0.62,4,1,8,18,6.0588235294117645,3.8823529411764706,3.2941176470588234,6.176470588235294,2.1176470588235294,0.7058823529411765,0.8235294117647058,2.1176470588235294,1.8058823529411765,0.776470588235294,0.9176470588235294,2.0470588235294116,5.823529411764706,2.6470588235294117,2.0,6.705882352941177,20.058823529411764,14.294117647058824,14.647058823529411,20.88235294117647
3,2,1.2,1,0.5,0,16,7,0.44,4,1,0.25,1,1.0,7,1.0,8,1,33,4,6.647058823529412,2.5625,3.235294117647059,5.625,1.3529411764705883,0.625,1.3529411764705883,1.625,1.4000000000000001,0.9375,1.288235294117647,1.75625,4.529411764705882,2.25,3.7058823529411766,4.75,28.941176470588236,12.25,13.588235294117647,26.3125
4,3,0.7,1,1.1,0,17,7,0.41,8,1,0.13,1,1.0,7,1.0,3,2,21,11,5.8125,3.5,3.875,5.375,1.6875,1.1875,0.9375,1.5,1.95625,1.15625,1.0125,1.475,5.5625,3.0625,3.25,4.375,15.5625,16.5,16.9375,22.0
1,3,1.1,1,1.1,1,13,4,0.31,8,4,0.5,3,0.75,3,0.75,7,2,27,25,6.5625,3.1176470588235294,4.75,6.823529411764706,0.9375,0.7058823529411765,1.6875,0.9411764705882353,1.24375,0.7352941176470589,1.58125,1.2529411764705882,3.9375,2.823529411764706,4.0625,3.588235294117647,23.875,17.58823529411765,16.3125,22.764705882352942
5,2,1.9,1,1.4,0,8,4,0.5,7,3,0.43,3,1.0,3,0.75,4,2,17,10,7.529411764705882,2.5,1.8235294117647058,6.0,1.9411764705882353,0.75,0.11764705882352941,1.5,2.3058823529411767,0.70625,0.6823529411764706,1.36875,5.9411764705882355,2.75,1.7058823529411764,4.5625,23.294117647058822,15.0625,9.588235294117647,24.3125
4,5,2.1,0,0.8,2,18,3,0.17,10,4,0.4,2,0.5,3,1.0,12,2,39,7,7.823529411764706,5.647058823529412,2.4705882352941178,4.9411764705882355,1.1764705882352942,1.7058823529411764,0.7647058823529411,1.0588235294117647,1.3882352941176472,1.7941176470588236,0.788235294117647,1.2,4.176470588235294,4.9411764705882355,1.9411764705882353,3.823529411764706,27.823529411764707,14.470588235294118,13.823529411764707,17.235294117647058
