clas_local,clas_visitante,G_esp_local,Goles_local,G_esp_visitante,Goles_visitante,quiniela,Posesión_local,Posesión_visitante,Pases_intento_local,Pases_buenos_local,Pases_%_local,Pases_intento_visitante,Pases_buenos_visitante,Pases_%_visitante,Disparos_puerta_intento_local,Disparos_puerta_buenos_local,Disparos_puerta_%_local,Disparos_puerta_intento_visitante,Disparos_puerta_buenos_visitante,Disparos_puerta_%_visitante,Paradas_local,Paradas_%_local,Paradas_visitante,Paradas_%_visitante,expulsion_doble_amarilla_local,expulsión_roja_directa_local,expulsion_doble_amarilla_visitante,expulsión_roja_directa_visitante,Saques_esquina_local,Saques_esquina_visitante,Pases_cruzados_local,Pases_cruzados_visitante,Intercepciones_local,Intercepciones_visitante,Despejes_local,Despejes_visitante,Saque_puerta_local,Saque_puerta_visitante,%_Saques_esquina_local_favor,%_Saques_esquina_visitante_favor,%_Saques_esquina_local_contra,%_Saques_esquina_visitante_contra,goles_marcados_local,goles_marcados_visitante,goles_recibidos_local,goles_recibidos_visitante,goles_esperados_local,goles_esperados_visitante,goles_esperados_contra_local,goles_esperados_contra_visitante,posesion_media_local,posesion_media_visitante,%_disparos_puerta_hechos_local,%_disparos_puerta_hechos_visitante,%_disparos_puerta_recibidos_local,%_disparos_puerta_recibidos_visitante,%_pases_cruzados_hechos_local,%_pases_cruzados_hechos_visitante,%_pases_cruzados_recibidos_local,%_pases_cruzados_recibidos_visitante
3,2,1.1,3,0.6,1,1,0.66,0.34,583,503,0.86,299,213,0.71,12,6,0.5,7,3,0.43,2,0.66,4,0.66,0,0,0,1,5,2,16,14,5,5,21,20,5,7,4.0588235294117645,2.5,4.0,6.0,1.9411764705882353,0.75,1.2941176470588236,1.5,1.5176470588235293,0.70625,1.1764705882352942,1.36875,0.5076470588235293,0.393125,5.294117647058823,2.75,3.5294117647058822,4.5625,20.352941176470587,15.0625,18.235294117647058,24.3125
3,3,1.0,0,1.0,1,2,0.53,0.47,560,466,0.83,491,392,0.8,11,3,0.27,11,6,0.55,5,0.83,3,1.0,0,0,0,0,2,4,18,13,5,7,12,12,2,7,4.0588235294117645,4.647058823529412,4.0,4.823529411764706,1.9411764705882353,0.9411764705882353,1.2941176470588236,1.7058823529411764,1.5176470588235293,1.1823529411764706,1.1764705882352942,1.5705882352941176,0.5076470588235293,0.4758823529411765,5.294117647058823,3.4705882352941178,3.5294117647058822,4.176470588235294,20.352941176470587,17.0,18.235294117647058,19.176470588235293
4,3,0.5,1,1.3,0,1,0.55,0.45,504,408,0.81,418,313,0.75,7,1,0.14,12,2,0.17,2,1.0,0,0.0,0,1,0,0,2,4,9,25,11,10,31,14,9,13,4.375,3.1176470588235294,5.1875,6.823529411764706,1.375,0.7058823529411765,0.9375,0.9411764705882353,1.51875,0.7352941176470589,1.11875,1.2529411764705882,0.505625,0.4488235294117647,4.3125,2.823529411764706,3.0625,3.588235294117647,14.25,17.58823529411765,18.75,22.764705882352942
1,4,0.7,0,1.8,1,2,0.45,0.55,416,325,0.78,503,414,0.82,12,5,0.42,8,4,0.5,3,0.75,5,1.0,0,0,0,0,4,6,13,12,7,11,14,13,6,6,6.5625,4.235294117647059,4.75,3.823529411764706,0.9375,1.2941176470588236,1.6875,0.9411764705882353,1.24375,1.2588235294117647,1.58125,1.0823529411764705,0.47,0.5511764705882354,3.9375,4.764705882352941,4.0625,3.235294117647059,23.875,14.058823529411764,16.3125,16.941176470588236
3,3,0.7,0,0.8,2,2,0.65,0.35,614,486,0.79,334,239,0.72,15,0,0.0,9,4,0.44,2,0.5,0,1.0,0,0,0,0,7,3,46,10,10,18,11,41,6,8,5.529411764705882,3.6470588235294117,4.470588235294118,5.294117647058823,1.4705882352941178,0.8823529411764706,1.1176470588235294,1.4705882352941178,1.4352941176470588,0.8529411764705882,1.0411764705882351,1.447058823529412,0.5452941176470588,0.4029411764705882,4.529411764705882,2.411764705882353,3.3529411764705883,4.352941176470588,24.88235294117647,15.705882352941176,15.0,22.88235294117647
2,3,2.3,2,1.0,1,1,0.33,0.67,286,195,0.68,592,507,0.86,11,5,0.45,13,5,0.38,4,0.8,3,0.6,0,0,0,0,5,2,14,22,6,4,16,8,8,6,4.529411764705882,2.875,5.9411764705882355,5.5625,1.5294117647058822,1.125,1.2941176470588236,1.625,1.2705882352941178,0.88125,1.5294117647058822,1.7125000000000001,0.46058823529411763,0.5181250000000001,4.235294117647059,2.9375,4.470588235294118,4.6875,16.764705882352942,15.6875,22.176470588235293,22.1875
2,4,0.3,0,1.1,0,X,0.36,0.64,300,211,0.7,527,447,0.85,8,2,0.25,11,6,0.55,6,1.0,2,1.0,0,0,0,0,1,4,10,12,2,7,14,10,8,7,3.764705882352941,4.9411764705882355,3.9411764705882355,5.9411764705882355,1.0588235294117647,1.1764705882352942,1.0588235294117647,1.1176470588235294,1.2,1.1941176470588235,1.211764705882353,1.4529411764705882,0.42470588235294116,0.5476470588235295,3.2941176470588234,3.9411764705882355,4.235294117647059,4.235294117647059,19.764705882352942,12.823529411764707,16.823529411764707,20.58823529411765
5,2,2.6,4,0.8,0,1,0.67,0.33,694,602,0.87,346,252,0.73,24,9,0.38,8,2,0.25,2,1.0,5,0.55,0,0,0,0,14,4,30,10,7,9,5,28,5,15,7.529411764705882,3.8823529411764706,1.8235294117647058,6.176470588235294,1.9411764705882353,0.7058823529411765,0.11764705882352941,2.1176470588235294,2.3058823529411767,0.776470588235294,0.6823529411764706,2.0470588235294116,0.6558823529411765,0.4782352941176471,5.9411764705882355,2.6470588235294117,1.7058823529411764,6.705882352941177,23.294117647058822,14.294117647058824,9.588235294117647,20.88235294117647
2,5,1.3,1,2.1,3,2,0.36,0.64,337,253,0.75,605,530,0.88,15,4,0.27,19,6,0.32,3,0.5,3,0.75,0,1,0,0,7,7,17,18,6,5,19,12,2,2,5.625,5.647058823529412,3.8125,4.9411764705882355,1.1875,1.7058823529411764,1.5625,1.0588235294117647,1.4375,1.7941176470588236,1.1625,1.2,0.46125,0.5823529411764706,4.125,4.9411764705882355,3.9375,3.823529411764706,21.5625,14.470588235294118,14.6875,17.235294117647058
2,4,0.4,0,2.4,4,2,0.38,0.62,378,283,0.75,613,524,0.85,9,3,0.33,19,7,0.37,3,0.42,3,1.0,0,0,0,0,0,6,13,19,9,6,14,18,10,2,4.705882352941177,5.0,5.117647058823529,4.4375,0.9411764705882353,1.4375,1.3529411764705883,1.25,1.1352941176470588,1.4125,1.535294117647059,1.025,0.43529411764705883,0.51375,3.1176470588235294,3.75,5.588235294117647,4.1875,20.176470588235293,19.875,20.11764705882353,18.0625
2,5,0.5,0,1.5,1,2,0.69,0.31,635,539,0.85,284,203,0.71,12,2,0.17,13,7,0.54,6,0.85,2,1.0,0,0,0,0,6,2,28,6,7,8,3,33,4,6,7.0,3.6875,3.4705882352941178,5.25,1.411764705882353,1.5,1.0,0.75,1.3588235294117648,1.325,0.7823529411764706,1.14375,0.556470588235294,0.46625,4.117647058823529,4.5,2.823529411764706,3.75,26.176470588235293,13.9375,13.117647058823529,21.9375
3,2,0.7,3,0.3,0,1,0.58,0.42,571,474,0.83,420,327,0.78,9,5,0.56,7,0,0.0,0,1.0,2,0.4,0,0,0,0,2,2,15,12,7,9,11,10,7,4,5.0625,2.5625,3.8125,5.625,1.375,0.625,1.0625,1.625,1.225,0.9375,0.93125,1.75625,0.54,0.393125,4.5,2.25,2.5625,4.75,20.1875,12.25,14.25,26.3125
