clas_local,clas_visitante,Amarillas_local,expulsion_doble_amarilla_local,expulsión_roja_directa_local,Amarillas_visitante,expulsion_doble_amarilla_visitante,expulsión_roja_directa_visitante,Faltas_local,Faltas_visitante,Derribos_local,Derribos_visitante,Árbitro_faltas_local,Árbitro_faltas_visitante,Árbitro_amarillas_local,Árbitro_amarillas_visitante,Árbitro_doble_amarilla_local,Árbitro_doble_amarilla_visitante,Árbitro_roja_directa_local,Árbitro_roja_directa_visitante,tarjetas_total_local,tarjetas_total_visitante,Árbitro_sum_tarjetas_local,Árbitro_sum_tarjetas_visitante,faltas_cometidas_local,faltas_cometidas_visitante,faltas_provocadas_local,faltas_provocadas_visitante,amarillas_cometidas_local,amarillas_cometidas_visitante,amarillas_provocadas_local,amarillas_provocadas_visitante,dobles_amarillas_cometidas_local,dobles_amarillas_cometidas_visitante,dobles_amarillas_provocadas_local,dobles_amarillas_provocadas_visitante,rojas_directas_cometida_local,rojas_directas_cometida_visitante,rojas_directas_provocadas_local,rojas_directas_provocadas_visitante,tarjetas_cometidas_local,tarjetas_cometidas_visitante,tarjetas_provocadas_local,tarjetas_provocadas_visitante
2,5,1,0,0,2,0,0,12,13,17,9,12.222222222222221,12.333333333333334,1.7222222222222223,2.0,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.16666666666666666,1,2,2.0,2.2222222222222223,12.823529411764707,11.8125,12.647058823529411,12.9375,2.588235294117647,2.8125,2.4705882352941178,2.25,0.0,0.0625,0.17647058823529413,0.0,0.11764705882352941,0.125,0.058823529411764705,0.1875,2.7058823529411766,3.0,2.705882352941176,2.4375
5,3,2,0,0,3,0,0,11,6,15,13,13.75,12.5625,3.0625,3.6875,0.125,0.125,0.1875,0.0,2,3,3.375,3.8125,11.470588235294118,12.0,11.647058823529411,13.764705882352942,2.235294117647059,2.411764705882353,2.411764705882353,2.823529411764706,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.17647058823529413,2.4705882352941178,2.6470588235294117,2.705882352941176,3.0588235294117645
5,3,3,0,0,5,0,0,7,15,12,20,12.411764705882353,14.764705882352942,1.8823529411764706,3.588235294117647,0.0,0.058823529411764705,0.17647058823529413,0.17647058823529413,3,5,2.0588235294117645,3.823529411764706,10.375,15.529411764705882,13.75,12.0,1.6875,2.9411764705882355,2.5625,2.1176470588235294,0.0625,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.1875,0.058823529411764705,1.75,3.0,2.75,2.2352941176470584
1,4,3,0,0,0,0,0,15,9,18,15,12.176470588235293,12.705882352941176,2.0,1.3529411764705883,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,3,0,2.1176470588235294,1.4705882352941178,14.375,13.75,11.6875,12.75,2.375,2.0,2.375,2.8125,0.125,0.0,0.1875,0.0625,0.25,0.1875,0.1875,0.125,2.75,2.1875,2.75,3.0
2,4,4,0,0,1,0,0,9,16,18,18,14.25,12.75,2.1875,2.5,0.0,0.0625,0.1875,0.125,4,1,2.375,2.6875,16.352941176470587,16.470588235294116,13.294117647058824,12.294117647058824,3.2941176470588234,2.235294117647059,2.5294117647058822,3.0,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.17647058823529413,3.5294117647058822,2.2941176470588234,2.6470588235294117,3.2941176470588234
4,4,1,0,0,1,0,0,11,14,16,17,9.736842105263158,10.473684210526315,2.3684210526315788,2.3684210526315788,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,1,1,2.526315789473684,2.473684210526316,10.9375,11.176470588235293,14.9375,12.941176470588236,1.875,2.176470588235294,3.0625,2.0588235294117645,0.0,0.0,0.0,0.0,0.5,0.058823529411764705,0.125,0.11764705882352941,2.375,2.2352941176470584,3.1875,2.176470588235294
2,3,0,0,0,2,0,0,4,9,13,15,12.166666666666666,11.944444444444445,2.0,2.8333333333333335,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.05555555555555555,0,2,2.2222222222222223,2.9444444444444446,12.588235294117647,15.235294117647058,10.588235294117647,11.058823529411764,2.8823529411764706,2.7058823529411766,2.8823529411764706,1.6470588235294117,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.17647058823529413,0.058823529411764705,0.17647058823529413,3.0,2.941176470588235,2.9999999999999996,1.8823529411764706
2,2,1,0,0,4,0,0,12,19,21,18,12.722222222222221,14.777777777777779,2.2222222222222223,3.0555555555555554,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,1,4,2.3333333333333335,3.2222222222222223,11.625,15.625,13.6875,13.5625,1.75,3.125,2.0,2.4375,0.0,0.25,0.0,0.125,0.0625,0.0625,0.0625,0.25,1.8125,3.4375,2.0625,2.8125
3,2,3,0,0,6,0,0,15,14,10,18,13.0,14.4375,2.625,2.4375,0.0,0.0,0.0625,0.0625,3,6,2.6875,2.5,17.375,11.25,13.875,11.125,3.6875,2.6875,3.1875,2.25,0.0,0.0,0.0,0.0625,0.1875,0.0625,0.125,0.125,3.875,2.75,3.3125,2.4375
5,1,2,0,0,2,0,1,11,9,14,14,14.75,13.25,2.625,3.25,0.125,0.1875,0.0625,0.1875,2,3,2.8125,3.625,12.058823529411764,13.411764705882353,11.823529411764707,10.764705882352942,1.7647058823529411,3.0588235294117645,2.8823529411764706,1.9411764705882353,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.11764705882352941,0.0,1.9411764705882353,3.4117647058823524,3.1176470588235294,2.0
